batter,team,pa,OUT,BB,1B,2B,3B,HR
"Dorinsky, Nate",CAP_CAT,41,0.5543414634146342,0.24390243902439027,0.10087804878048783,0.09034146341463417,0.0036585365853658547,0.006878048780487806
"Fandre, Harry",QUI_DOG,31,0.5521290322580645,0.12903225806451613,0.25929032258064516,0.028064516129032258,0.005677419354838709,0.02580645161290323
"Farlow, Jackson",QUI_DOG,37,0.6682788051209104,0.16216216216216217,0.10776671408250356,0.030896159317211947,0.010924608819345661,0.019971550497866287
"Farnaus, Keegan",DEC_BEA,30,0.6762666666666667,0.1,0.2106666666666667,0.0096,7.999999999999999e-4,0.002666666666666667
"Fernandez, Juan",BUR_BEE1,42,0.6077619047619048,0.11904761904761904,0.20004761904761906,0.055523809523809524,0.01761904761904762,0
"Ferreira, Johan",TER_HAU,38,0.6257236842105263,0.15789473684210525,0.14689736842105264,0.032502631578947366,0.005871052631578946,0.031110526315789474
"Fivelson, Ari",QUI_DOG,45,0.42505128205128206,0.33333333333333337,0.14884615384615388,0.04938461538461539,0.0024000000000000002,0.0409846153846154
"Foster, Brayden",ILL_VAL3,39,0.702,0.07692307692307691,0.17584615384615385,0.04405128205128205,0.0010256410256410254,1.5384615384615385e-4
"Galla, Nolan",ILL_VAL3,44,0.6214581818181818,0.1590909090909091,0.18607454545454546,0.026363636363636363,0.004850909090909091,0.0021618181818181823
"Garcia, Jedvier",KOK_CRE,44,0.6619173553719009,0.20454545454545459,0.10462809917355372,0.005851239669421488,0.018595041322314057,0.004462809917355373
"Gorski, Justin",CHI_PAI,49,0.573923076923077,0.26530612244897966,0.14500313971742543,0.011783359497645212,0.0018649921507064365,0.0021193092621664055
"Griffith, Nick",QUI_DOG,37,0.5864324324324325,0.13513513513513517,0.10675675675675676,0.13005405405405407,0.020000000000000007,0.021621621621621626
"Grout, Karson",CLI_LUM1,32,0.7457426470588235,0.15625,0.07901470588235295,0.013698529411764705,0.0031764705882352945,0.0021176470588235297
"Gutierrez, Joseph",TER_HAU,33,0.38921212121212123,0.33333333333333337,0.2489090909090909,0.026909090909090907,6.060606060606061e-4,0.0010303030303030303
"Harper, Renn",TER_HAU,40,0.6270000000000001,0.07500000000000001,0.25495000000000007,0.04045000000000001,0.00145,0.0011500000000000002
"Hartz, Ryan",ALT_RIV,40,0.6029,0.15,0.23374999999999996,0.012750000000000001,4.999999999999998e-5,5.5e-4
"Hatfield, Zavier",JAC_ROC,38,0.5178114035087719,0.23684210526315788,0.22265350877192985,0.022407894736842106,2.850877192982456e-4,0
"Helton, Drew",KOK_CRE,34,0.5838705882352941,0.20588235294117646,0.19838823529411764,0.0019147058823529414,0.0024088235294117645,0.007535294117647061
"Hibler, Brayden",KOK_CRE,45,0.6352341880341881,0.17777777777777778,0.11937094017094017,0.015962393162393163,0.03222222222222222,0.01943247863247863
"Johns, Tripp",CHI_PAI,43,0.6499069767441861,0.13953488372093023,0.12906976744186047,0.026046511627906985,0.014325581395348836,0.041116279069767434
"Jones, Jaxon",CAP_CAT,41,0.6284390243902439,0.14634146341463417,0.21195121951219514,0.013024390243902442,1.4634146341463414e-4,9.756097560975608e-5
"Kearns, Ben",TER_HAU,43,0.471953488372093,0.32558139534883723,0.11576744186046513,0.06241860465116278,0.007255813953488372,0.017023255813953492
"Kelley, Milo",BUR_BEE1,32,0.5459375,0.34375,0.0614375,0.027,0,0.021875000000000002
